15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15050500;Sparkasse Vorpommern;20
15051732;Sparkasse Mecklenburg-Strelitz;C0
15051732;Sparkasse Mecklenburg-Strelitz;C0
15051732;Sparkasse Mecklenburg-Strelitz;C0
15051732;Sparkasse Mecklenburg-Strelitz;C0
15051732;Sparkasse Mecklenburg-Strelitz Gs;C0
15051732;Sparkasse Mecklenburg-Strelitz Gs;C0
15051732;Sparkasse Mecklenburg-Strelitz Gs;C0
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte;32
15061618;Raiffeisenbank Mecklenburger Seenplatte (Gf P2);32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank;32
15061638;Volksbank Raiffeisenbank (Gf P2);32
15061658;Raiffeisenbank Pasewalk-Strasburg -alt-;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg;32
15061658;Raiffeisenbank Pasewalk-Strasburg (Gf P2);32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin;32
15061698;Raiffeisenbank Malchin (Gf P2);32
15061758;Neubrandenburger Bank -alt-;6
15080000;Commerzbank vormals Dresdner Bank;76
15080000;Commerzbank vormals Dresdner Bank;76
15080000;Commerzbank vormals Dresdner Bank;76
15080000;Commerzbank vormals Dresdner Bank;76
15080000;Commerzbank vormals Dresdner Bank;76
15091674;Volksbank Demmin;6
15091674;Volksbank Demmin (Gf P2);6
15091674;Volksbank Demmin Nst Anklam;6
15091704;VR-Bank Uckermark-Randow;6
15091704;VR-Bank Uckermark-Randow;6
15091704;VR-Bank Uckermark-Randow;6
15091704;VR-Bank Uckermark-Randow;6
15091704;VR-Bank Uckermark-Randow;6
15091704;VR-Bank Uckermark-Randow (Gf P2);6
16000000;Bundesbank eh Potsdam;9
16010111;SEB;13
16010111;SEB;13
16010300;Investitionsbank des Landes Brandenburg;8
16020086;UniCredit Bank - HypoVereinsbank;99
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16040000;Commerzbank;13
16050000;Mittelbrandenburgische Sparkasse in Potsdam;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050101;Sparkasse Prignitz;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050202;Sparkasse Ostprignitz-Ruppin;20
16050500;LBS Ostdeutsche Landesbausparkasse;9
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz;32
16060122;Volks- und Raiffeisenbank Prignitz (Gf P2);32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin;32
16061938;Raiffeisenbank Ostprignitz-Ruppin (Gf P2);32
16062008;VR-Bank Fläming;28
16062008;VR-Bank Fläming;28
16062008;VR-Bank Fläming;28
16062008;VR-Bank Fläming;28
16062008;VR-Bank Fläming;28
16062008;VR-Bank Fläming (Gf P2);28
16062073;Brandenburger Bank;32
16062073;Brandenburger Bank;32
16062073;Brandenburger Bank;32
16062073;Brandenburger Bank;32
16062073;Brandenburger Bank;32
16062073;Brandenburger Bank (Gf P2);32
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
16080000;Commerzbank vormals Dresdner Bank;76
